Date,East of England,London,Midlands,North East & Yorkshire,North West,South East,South West,Scotland
19/3/2020,,,,,,,,
20/3/2020,59.00,819.00,218.00,82.00,130.00,176.00,57.00,
21/3/2020,71.00,1055.00,278.00,124.00,162.00,307.00,95.00,
22/3/2020,91.00,1228.00,379.00,158.00,190.00,408.00,134.00,
23/3/2020,131.00,1515.00,436.00,190.00,236.00,449.00,140.00,
24/3/2020,150.00,1651.00,581.00,228.00,250.00,469.00,163.00,
25/3/2020,192.00,1974.00,688.00,309.00,332.00,567.00,200.00,
26/3/2020,290.00,2158.00,964.00,426.00,372.00,599.00,236.00,
27/3/2020,336.00,2727.00,1054.00,532.00,548.00,744.00,304.00,404.00
28/3/2020,423.00,3002.00,1117.00,677.00,654.00,802.00,342.00,511.00
29/3/2020,475.00,3334.00,1312.00,804.00,809.00,1008.00,401.00,565.00
30/3/2020,617.00,3492.00,1799.00,963.00,964.00,1208.00,455.00,627.00
31/3/2020,779.00,3915.00,1918.00,1085.00,1110.00,1469.00,491.00,752.00
1/4/2020,812.00,4012.00,2138.00,1254.00,1392.00,1368.00,564.00,815.00
2/4/2020,796.00,4009.00,1729.00,1319.00,1476.00,1614.00,590.00,910.00
3/4/2020,870.00,3836.00,2546.00,1771.00,1638.00,1541.00,642.00,1037.00
4/4/2020,931.00,4406.00,2768.00,2013.00,2049.00,1712.00,703.00,1107.00
5/4/2020,1161.00,4571.00,2895.00,2218.00,2178.00,1850.00,740.00,1204.00
6/4/2020,1144.00,4656.00,3042.00,2041.00,2409.00,1858.00,802.00,1262.00
7/4/2020,1323.00,4689.00,3086.00,2113.00,2495.00,2073.00,791.00,1328.00
8/4/2020,1316.00,4813.00,3070.00,2319.00,2436.00,2058.00,772.00,1415.00
9/4/2020,1272.00,4791.00,2999.00,2567.00,2596.00,1930.00,797.00,1440.00
10/4/2020,1345.00,4736.00,3101.00,2304.00,2721.00,2031.00,809.00,1461.00
11/4/2020,1322.00,4430.00,3062.00,2422.00,2830.00,2007.00,808.00,1467.00
12/4/2020,1484.00,4433.00,3092.00,2440.00,2837.00,2053.00,833.00,1487.00
13/4/2020,1268.00,4248.00,2975.00,2470.00,2890.00,2049.00,822.00,1482.00
14/4/2020,1387.00,4031.00,2989.00,2431.00,2842.00,2020.00,840.00,1514.00
15/4/2020,1418.00,3886.00,2756.00,2400.00,2655.00,1970.00,832.00,1486.00
16/4/2020,1364.00,3800.00,2708.00,2353.00,2753.00,1911.00,796.00,1479.00
17/4/2020,1340.00,3617.00,2496.00,2206.00,2389.00,1893.00,792.00,1487.00
18/4/2020,1323.00,3445.00,2510.00,2236.00,2652.00,1932.00,770.00,1501.00
19/4/2020,1362.00,3384.00,2523.00,2217.00,2651.00,1933.00,771.00,1520.00
20/4/2020,1363.00,3378.00,2524.00,2121.00,2631.00,1936.00,737.00,1520.00
21/4/2020,1319.00,3270.00,2497.00,2226.00,2547.00,1897.00,731.00,1472.00
22/4/2020,1293.00,3134.00,2416.00,2148.00,2462.00,1856.00,713.00,1432.00
23/4/2020,1261.00,2928.00,2354.00,2095.00,2445.00,1747.00,677.00,1423.00
24/4/2020,1228.00,2737.00,2245.00,2054.00,2338.00,1682.00,647.00,1383.00
25/4/2020,1203.00,2688.00,2000.00,2018.00,2281.00,1597.00,625.00,1385.00
26/4/2020,1227.00,2615.00,2111.00,1963.00,2277.00,1524.00,611.00,1382.00
27/4/2020,1205.00,2614.00,2109.00,2007.00,2306.00,1568.00,589.00,1387.00
28/4/2020,1195.00,2304.00,2047.00,1973.00,2168.00,1541.00,590.00,1359.00
29/4/2020,1138.00,2335.00,1935.00,1911.00,2218.00,1489.00,547.00,1363.00
30/4/2020,1067.00,2235.00,1921.00,1862.00,2178.00,1465.00,525.00,1324.00
1/5/2020,1033.00,2152.00,1873.00,1854.00,2150.00,1407.00,501.00,1302.00
2/5/2020,1021.00,2033.00,1835.00,1835.00,2191.00,1310.00,494.00,1277.00
3/5/2020,1045.00,2001.00,1802.00,1814.00,2065.00,1307.00,525.00,1266.00
4/5/2020,961.00,1935.00,1777.00,1809.00,2094.00,1335.00,527.00,1279.00
5/5/2020,981.00,1890.00,1735.00,1746.00,2043.00,1291.00,518.00,1225.00
6/5/2020,935.00,1803.00,1712.00,1671.00,1957.00,1231.00,473.00,1204.00
7/5/2020,894.00,1736.00,1598.00,1597.00,1840.00,1171.00,445.00,1199.00
8/5/2020,836.00,1639.00,1556.00,1531.00,1817.00,1123.00,402.00,1168.00
9/5/2020,870.00,1653.00,1563.00,1497.00,1813.00,1063.00,417.00,1165.00
10/5/2020,903.00,1579.00,1523.00,1424.00,1723.00,1051.00,414.00,1132.00
11/5/2020,894.00,1580.00,1559.00,1508.00,1799.00,1062.00,417.00,1145.00
12/5/2020,873.00,1547.00,1520.00,1465.00,1733.00,1035.00,387.00,1131.00
13/5/2020,851.00,1490.00,1502.00,1437.00,1711.00,996.00,378.00,1101.00
14/5/2020,823.00,1404.00,1449.00,1360.00,1668.00,961.00,364.00,1100.00
15/5/2020,811.00,1366.00,1407.00,1366.00,1636.00,955.00,361.00,1066.00
16/5/2020,777.00,1315.00,1385.00,1257.00,1580.00,866.00,347.00,1011.00
17/5/2020,797.00,1282.00,1439.00,1240.00,1588.00,846.00,361.00,1007.00
18/5/2020,783.00,1258.00,1466.00,1243.00,1591.00,837.00,371.00,1005.00
19/5/2020,787.00,1182.00,1440.00,1215.00,1636.00,818.00,358.00,969.00
20/5/2020,764.00,1050.00,1415.00,1143.00,1574.00,783.00,354.00,943.00
21/5/2020,740.00,1018.00,1409.00,1067.00,1517.00,788.00,357.00,909.00
22/5/2020,718.00,1047.00,1381.00,1033.00,1495.00,818.00,335.00,874.00
