Date,Region,Hospital admissions with COVID-19
20/3/2020,England,608
21/3/2020,England,720
22/3/2020,England,806
23/3/2020,England,893
24/3/2020,England,1137
25/3/2020,England,1582
26/3/2020,England,1741
27/3/2020,England,1643
28/3/2020,England,1913
29/3/2020,England,1847
30/3/2020,England,2137
31/3/2020,England,2769
1/4/2020,England,2484
2/4/2020,England,3121
3/4/2020,England,2874
4/4/2020,England,2451
5/4/2020,England,2509
6/4/2020,England,2517
7/4/2020,England,2618
8/4/2020,England,2678
9/4/2020,England,2463
10/4/2020,England,2206
11/4/2020,England,2039
12/4/2020,England,1848
13/4/2020,England,1687
14/4/2020,England,1798
15/4/2020,England,1749
16/4/2020,England,1516
17/4/2020,England,1664
18/4/2020,England,1553
19/4/2020,England,1318
20/4/2020,England,1393
21/4/2020,England,1416
22/4/2020,England,1398
23/4/2020,England,1192
24/4/2020,England,1219
25/4/2020,England,1171
26/4/2020,England,1002
27/4/2020,England,1155
28/4/2020,England,1274
29/4/2020,England,1191
30/4/2020,England,1190
1/5/2020,England,1152
2/5/2020,England,997
3/5/2020,England,906
4/5/2020,England,989
5/5/2020,England,994
6/5/2020,England,897
7/5/2020,England,971
8/5/2020,England,938
9/5/2020,England,701
10/5/2020,England,751
11/5/2020,England,711
12/5/2020,England,804
13/5/2020,England,788
14/5/2020,England,736
15/5/2020,England,718
16/5/2020,England,678
17/5/2020,England,639
18/5/2020,England,637
19/5/2020,England,697
20/5/2020,England,713
21/5/2020,England,675
22/5/2020,England,685
23/5/2020,England,595
24/5/2020,England,471
25/5/2020,England,472
26/5/2020,England,475
27/5/2020,England,552
28/5/2020,England,562
29/5/2020,England,545
30/5/2020,England,479
31/5/2020,England,436
